Clean Title,Poster,Preview Link,Download Link,Year,Rating,Genre,Language,Duration,Trailer,Type,Description
The Shawshank Redemption,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,,,1994,9.3,Drama,English,2h 22m,https://www.youtube.com/watch?v=PLl99DlL6b4,movie,"Imprisoned for a double murder he says he didn't commit, banker Andy Dufresne forms an unlikely friendship and finds hope inside Shawshank prison."
The Godfather,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,,,1972,9.2,"Crime, Drama",English,2h 55m,https://www.youtube.com/watch?v=sY1S34973zA,movie,The aging patriarch of an organized crime dynasty hands control of his empire to his reluctant youngest son.
The Dark Knight,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,,,2008,9.0,"Action, Crime, Drama",English,2h 32m,https://www.youtube.com/watch?v=EXeTwQWrcwY,movie,"Batman faces the Joker, a criminal mastermind who plunges Gotham City into anarchy."
Pulp Fiction,https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,,,1994,8.9,"Crime, Thriller",English,2h 34m,https://www.youtube.com/watch?v=s7EdQ4FqbhY,movie,"The lives of two hitmen, a boxer, a gangster's wife and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump,https://image.tmdb.org/t/p/w500/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,,,1994,8.8,"Drama, Romance",English,2h 22m,https://www.youtube.com/watch?v=bLvqoHBptjg,movie,A kind-hearted man with a low IQ witnesses and influences several defining moments of 20th-century America.
Inception,https://image.tmdb.org/t/p/w500/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,,,2010,8.8,"Action, Sci-Fi, Thriller",English,2h 28m,https://www.youtube.com/watch?v=YoHD9XEInc0,movie,A thief who steals secrets through dream-sharing technology is given one last job: planting an idea in a target's mind.
Fight Club,https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,,,1999,8.8,Drama,English,2h 19m,https://www.youtube.com/watch?v=qtRKdVHc-cE,movie,An insomniac office worker and a reckless soap salesman form an underground fight club that spirals out of control.
The Matrix,https://image.tmdb.org/t/p/w500/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,,,1999,8.7,"Action, Sci-Fi",English,2h 16m,https://www.youtube.com/watch?v=vKQi3bBA1y8,movie,A hacker learns that his reality is a simulation and joins a rebellion against the machines that control it.
Interstellar,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,,,2014,8.7,"Adventure, Drama, Sci-Fi",English,2h 49m,https://www.youtube.com/watch?v=zSWdZVtXT7E,movie,A team of explorers travels through a wormhole in space in an attempt to ensure humanity's survival.
Spirited Away,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,,,2001,8.6,"Animation, Fantasy, Family",Japanese,2h 5m,https://www.youtube.com/watch?v=ByXuk9QqQkk,movie,"Ten-year-old Chihiro wanders into a world of spirits and must work in a bathhouse to free her parents, who have been turned into pigs."
Parasite,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,,,2019,8.5,"Comedy, Drama, Thriller",Korean,2h 12m,https://www.youtube.com/watch?v=5xH0HfJHsaY,movie,A poor family schemes to become employed by a wealthy household by posing as unrelated skilled workers.
